Epoch: [0][1120/5376], lr: 0.00500	Time 0.500 (0.523)	Data 0.000 (0.002)	Loss 5.0582 (5.1203)	Prec@1 0.000 (0.926)	Prec@5 12.500 (4.550)
Epoch: [0][1140/5376], lr: 0.00500	Time 0.535 (0.523)	Data 0.000 (0.002)	Loss 4.8633 (5.1195)	Prec@1 0.000 (0.926)	Prec@5 6.250 (4.568)
Epoch: [0][1160/5376], lr: 0.00500	Time 0.508 (0.523)	Data 0.000 (0.002)	Loss 4.9087 (5.1184)	Prec@1 0.000 (0.942)	Prec@5 18.750 (4.624)
Epoch: [0][1180/5376], lr: 0.00500	Time 0.517 (0.523)	Data 0.000 (0.002)	Loss 5.1883 (5.1176)	Prec@1 0.000 (0.942)	Prec@5 0.000 (4.657)
Epoch: [0][1200/5376], lr: 0.00500	Time 0.541 (0.523)	Data 0.000 (0.002)	Loss 5.1541 (5.1165)	Prec@1 0.000 (0.942)	Prec@5 0.000 (4.652)
Epoch: [0][1220/5376], lr: 0.00500	Time 0.564 (0.523)	Data 0.000 (0.002)	Loss 5.1058 (5.1146)	Prec@1 6.250 (0.962)	Prec@5 12.500 (4.699)
Epoch: [0][1240/5376], lr: 0.00500	Time 0.547 (0.523)	Data 0.000 (0.002)	Loss 5.1316 (5.1144)	Prec@1 0.000 (0.972)	Prec@5 6.250 (4.739)
Epoch: [0][1260/5376], lr: 0.00500	Time 0.549 (0.523)	Data 0.000 (0.002)	Loss 5.0928 (5.1135)	Prec@1 0.000 (0.986)	Prec@5 0.000 (4.758)
Epoch: [0][1280/5376], lr: 0.00500	Time 0.545 (0.523)	Data 0.000 (0.002)	Loss 5.0559 (5.1115)	Prec@1 0.000 (0.995)	Prec@5 6.250 (4.796)
Epoch: [0][1300/5376], lr: 0.00500	Time 0.500 (0.523)	Data 0.000 (0.002)	Loss 5.0887 (5.1099)	Prec@1 0.000 (0.999)	Prec@5 0.000 (4.818)
Epoch: [0][1320/5376], lr: 0.00500	Time 0.561 (0.523)	Data 0.000 (0.002)	Loss 5.0240 (5.1086)	Prec@1 6.250 (0.998)	Prec@5 6.250 (4.859)
Epoch: [0][1340/5376], lr: 0.00500	Time 0.548 (0.523)	Data 0.000 (0.001)	Loss 5.0427 (5.1077)	Prec@1 6.250 (0.988)	Prec@5 12.500 (4.880)
Epoch: [0][1360/5376], lr: 0.00500	Time 0.513 (0.523)	Data 0.000 (0.001)	Loss 5.0759 (5.1066)	Prec@1 0.000 (1.001)	Prec@5 0.000 (4.918)
Epoch: [0][1380/5376], lr: 0.00500	Time 0.511 (0.523)	Data 0.000 (0.001)	Loss 5.1014 (5.1059)	Prec@1 0.000 (1.009)	Prec@5 6.250 (4.938)
Epoch: [0][1400/5376], lr: 0.00500	Time 0.500 (0.522)	Data 0.000 (0.001)	Loss 5.0927 (5.1048)	Prec@1 0.000 (1.013)	Prec@5 0.000 (4.952)
Epoch: [0][1420/5376], lr: 0.00500	Time 0.499 (0.522)	Data 0.000 (0.001)	Loss 5.0786 (5.1045)	Prec@1 0.000 (1.016)	Prec@5 6.250 (4.957)
Epoch: [0][1440/5376], lr: 0.00500	Time 0.506 (0.522)	Data 0.000 (0.001)	Loss 5.0396 (5.1032)	Prec@1 0.000 (1.011)	Prec@5 12.500 (4.971)
Epoch: [0][1460/5376], lr: 0.00500	Time 0.489 (0.522)	Data 0.000 (0.001)	Loss 5.2568 (5.1028)	Prec@1 0.000 (1.022)	Prec@5 0.000 (4.984)
Epoch: [0][1480/5376], lr: 0.00500	Time 0.518 (0.522)	Data 0.000 (0.001)	Loss 5.1618 (5.1015)	Prec@1 0.000 (1.038)	Prec@5 0.000 (5.014)
Epoch: [0][1500/5376], lr: 0.00500	Time 0.491 (0.522)	Data 0.000 (0.001)	Loss 4.9788 (5.1003)	Prec@1 0.000 (1.049)	Prec@5 6.250 (5.047)
Epoch: [0][1520/5376], lr: 0.00500	Time 0.510 (0.521)	Data 0.000 (0.001)	Loss 4.9947 (5.0994)	Prec@1 0.000 (1.064)	Prec@5 6.250 (5.095)
Epoch: [0][1540/5376], lr: 0.00500	Time 0.503 (0.521)	Data 0.000 (0.001)	Loss 4.9366 (5.0979)	Prec@1 6.250 (1.063)	Prec@5 12.500 (5.098)
Epoch: [0][1560/5376], lr: 0.00500	Time 0.491 (0.521)	Data 0.000 (0.001)	Loss 5.1103 (5.0972)	Prec@1 0.000 (1.073)	Prec@5 0.000 (5.121)
Epoch: [0][1580/5376], lr: 0.00500	Time 0.508 (0.521)	Data 0.000 (0.001)	Loss 5.0621 (5.0962)	Prec@1 0.000 (1.079)	Prec@5 0.000 (5.151)
Epoch: [0][1600/5376], lr: 0.00500	Time 0.512 (0.521)	Data 0.000 (0.001)	Loss 5.5187 (5.0951)	Prec@1 0.000 (1.089)	Prec@5 0.000 (5.184)
Epoch: [0][1620/5376], lr: 0.00500	Time 0.491 (0.521)	Data 0.000 (0.001)	Loss 5.2665 (5.0939)	Prec@1 0.000 (1.091)	Prec@5 0.000 (5.217)
